Date,시가,고가,저가,종가,거래량,변동률
2021-08-06,"53,700원","69,800원","51,000원","69,800원","59,402,373건",nan%
2021-08-09,"69,800원","89,100원","69,000원","78,500원","44,833,696건",12.46%
2021-08-10,"81,800원","85,600원","68,000원","71,400원","26,495,122건",-9.04%
2021-08-11,"71,200원","77,500원","68,100원","74,400원","21,592,734건",4.20%
2021-08-12,"73,600원","75,400원","72,700원","73,800원","5,878,196건",-0.81%
2021-08-13,"73,500원","78,600원","73,500원","76,600원","10,907,993건",3.79%
2021-08-17,"78,100원","88,300원","77,500원","87,400원","24,272,931건",14.10%
2021-08-18,"89,600원","94,400원","83,800원","84,500원","21,008,684건",-3.32%
2021-08-19,"87,300원","92,300원","86,400원","92,000원","13,606,690건",8.88%
2021-08-20,"92,800원","94,000원","88,600원","91,000원","15,815,275건",-1.09%
2021-08-23,"91,900원","92,800원","87,900원","89,800원","4,868,621건",-1.32%
2021-08-24,"90,000원","90,000원","84,700원","85,400원","6,553,145건",-4.90%
2021-08-25,"84,500원","84,600원","81,500원","82,100원","6,086,152건",-3.86%
2021-08-26,"83,400원","85,300원","82,100원","83,400원","4,255,489건",1.58%
2021-08-27,"82,500원","84,400원","82,500원","83,800원","2,174,014건",0.48%
2021-08-30,"84,000원","84,300원","81,600원","81,900원","1,782,049건",-2.27%
2021-08-31,"81,000원","83,900원","80,900원","83,900원","1,768,789건",2.44%
2021-09-01,"83,800원","88,900원","82,900원","88,800원","6,376,407건",5.84%
2021-09-02,"81,800원","83,600원","81,000원","81,900원","22,859,096건",-7.77%
2021-09-03,"82,900원","83,000원","80,200원","80,800원","3,987,547건",-1.34%
2021-09-06,"77,000원","78,400원","76,000원","77,400원","5,252,682건",-4.21%
2021-09-07,"77,300원","77,300원","72,600원","73,000원","6,001,690건",-5.68%
2021-09-08,"73,400원","75,800원","71,400원","72,300원","5,849,714건",-0.96%
2021-09-09,"71,300원","73,000원","70,300원","72,000원","5,748,242건",-0.41%
2021-09-10,"71,000원","72,400원","68,100원","68,900원","6,750,339건",-4.31%
2021-09-13,"67,800원","67,800원","64,500원","64,600원","4,628,803건",-6.24%
2021-09-14,"63,600원","72,300원","63,300원","69,700원","10,421,448건",7.89%
2021-09-15,"70,100원","73,200원","69,000원","69,000원","5,077,664건",-1.00%
2021-09-16,"69,900원","70,000원","66,700원","67,100원","2,452,019건",-2.75%
2021-09-17,"67,100원","68,600원","65,000원","68,000원","2,461,251건",1.34%
2021-09-23,"66,900원","67,200원","66,200원","66,400원","1,281,700건",-2.35%
2021-09-24,"67,100원","69,500원","67,000원","69,000원","2,125,450건",3.92%
2021-09-27,"69,000원","69,700원","67,500원","69,700원","1,323,980건",1.01%
2021-09-28,"70,100원","71,200원","69,300원","70,600원","1,906,190건",1.29%
2021-09-29,"69,300원","69,800원","68,300원","69,300원","1,151,274건",-1.84%
2021-09-30,"69,000원","69,200원","68,000원","68,400원","804,698건",-1.30%
2021-10-01,"67,800원","67,900원","65,500원","65,500원","1,363,624건",-4.24%
2021-10-05,"63,600원","64,400원","59,800원","60,000원","3,119,650건",-8.40%
2021-10-06,"60,200원","60,900원","57,100원","58,000원","2,152,044건",-3.33%
2021-10-07,"58,200원","60,400원","58,200원","60,000원","1,664,418건",3.45%
2021-10-08,"60,100원","60,100원","57,000원","57,000원","2,221,905건",-5.00%
2021-10-12,"55,800원","56,300원","54,100원","55,300원","2,807,832건",-2.98%
2021-10-13,"55,200원","56,900원","55,200원","55,900원","1,242,641건",1.08%
2021-10-14,"56,200원","59,000원","56,100원","59,000원","1,626,758건",5.55%
2021-10-15,"60,300원","60,600원","58,100원","60,100원","1,870,593건",1.86%
2021-10-18,"60,500원","60,600원","58,800원","60,000원","902,398건",-0.17%
2021-10-19,"60,500원","61,800원","60,000원","61,300원","1,311,776건",2.17%
2021-10-20,"61,300원","62,800원","59,300원","59,700원","1,812,030건",-2.61%
2021-10-21,"60,100원","60,800원","59,900원","60,200원","690,989건",0.84%
2021-10-22,"60,300원","60,800원","59,900원","60,100원","653,922건",-0.17%
2021-10-25,"60,300원","60,400원","58,900원","59,900원","677,825건",-0.33%
2021-10-26,"60,300원","61,900원","59,900원","61,900원","1,088,174건",3.34%
2021-10-27,"61,900원","62,800원","61,100원","62,000원","971,439건",0.16%
2021-10-28,"62,300원","65,600원","62,100원","64,600원","2,673,129건",4.19%
2021-10-29,"64,800원","65,200원","62,600원","63,100원","1,503,557건",-2.32%
2021-11-01,"63,300원","64,400원","63,000원","63,900원","958,229건",1.27%
2021-11-02,"64,200원","64,500원","64,000원","64,100원","902,143건",0.31%
2021-11-03,"64,100원","64,100원","59,100원","59,400원","4,131,208건",-7.33%
2021-11-04,"59,800원","60,700원","59,400원","60,000원","1,558,376건",1.01%
2021-11-05,"58,900원","59,000원","57,100원","57,200원","2,124,636건",-4.67%
2021-11-08,"52,600원","55,900원","52,600원","55,600원","4,020,446건",-2.80%
2021-11-09,"55,700원","58,200원","55,700원","57,000원","1,989,453건",2.52%
2021-11-10,"56,100원","58,700원","56,100원","58,600원","1,772,959건",2.81%
2021-11-11,"58,400원","59,300원","58,000원","59,100원","1,131,245건",0.85%
2021-11-12,"59,100원","62,200원","58,700원","62,100원","2,896,578건",5.08%
2021-11-15,"62,300원","63,000원","61,000원","62,400원","1,337,149건",0.48%
2021-11-16,"62,400원","62,500원","61,100원","62,500원","1,108,396건",0.16%
2021-11-17,"62,600원","63,400원","62,000원","63,100원","1,335,673건",0.96%
2021-11-18,"63,200원","64,600원","63,000원","64,500원","1,545,025건",2.22%
2021-11-19,"64,600원","65,000원","63,400원","65,000원","1,301,470건",0.78%
2021-11-22,"65,000원","65,000원","62,500원","64,000원","1,244,778건",-1.54%
2021-11-23,"63,600원","65,300원","63,400원","64,900원","1,235,612건",1.41%
2021-11-24,"65,100원","65,600원","64,000원","64,700원","1,082,435건",-0.31%
2021-11-25,"65,000원","68,000원","64,500원","67,900원","2,780,797건",4.95%
2021-11-26,"68,500원","69,300원","66,400원","68,200원","2,895,073건",0.44%
2021-11-29,"66,100원","71,000원","65,500원","70,300원","3,029,305건",3.08%
2021-11-30,"70,700원","72,300원","63,700원","65,600원","7,305,640건",-6.69%
2021-12-01,"65,600원","67,200원","64,500원","65,200원","1,920,674건",-0.61%
2021-12-02,"64,800원","65,600원","63,800원","65,000원","1,049,808건",-0.31%
2021-12-03,"65,200원","68,100원","64,700원","67,500원","1,634,554건",3.85%
2021-12-06,"67,200원","67,900원","65,200원","65,700원","1,250,833건",-2.67%
2021-12-07,"65,900원","67,900원","65,800원","67,500원","1,111,423건",2.74%
2021-12-08,"68,100원","68,700원","66,900원","67,500원","918,679건",0.00%
2021-12-09,"64,400원","65,000원","63,600원","64,200원","12,816,162건",-4.89%
2021-12-10,"64,500원","65,000원","63,100원","63,400원","2,403,988건",-1.25%
